State Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Illinois,8745,470,855,10454,2019
Indiana,16308,358,163,5480,2019
Iowa,7877,346,274,3373,2019
Kansas,5089,700,214,1958,2019
Kentucky,7467,312,215,3817,2019
Louisiana,14013,496,137,1147,2019
Maine,3474,196,29,1061,2019
Maryland,12053,152,95,6191,2019
Massachusetts,6292,568,419,10086,2019
Michigan,14623,244,567,5166,2019
Minnesota,13709,186,190,14501,2019
Mississippi,6164,72,103,613,2019
Missouri,10955,554,447,5504,2019
Montana,3014,328,376,1058,2019
Nebraska,4672,164,74,3115,2019
Nevada,13088,58,242,6755,2019
New Hampshire,2746,192,38,1767,2019
New Jersey,11526,1066,932,22981,2019
New Mexico,4285,14,19,702,2019
New York,9412,1086,705,34016,2019
North Carolina,51642,408,212,19045,2019
North Dakota,1767,44,4,680,2019
Ohio,16078,298,555,6116,2019
Oklahoma,10393,434,95,1230,2019
Oregon,11586,492,244,9715,2019
Pennsylvania,14878,612,952,7097,2019
Puerto Rico,1554,38,21,915,2019
Rhode Island,1020,130,87,163,2019
South Carolina,31052,268,74,4640,2019
South Dakota,3127,116,104,1068,2019
Tennessee,29598,296,205,11262,2019
Texas,129094,2556,1805,76440,2019
Utah,18191,308,757,9523,2019
Vermont,987,96,40,678,2019
Virginia,21056,290,408,10664,2019
Virgin Islands,148,76,4,0,2019
Washington,23300,1380,1118,22626,2019
West Virginia,2551,52,202,205,2019
Wisconsin,11298,1010,105,5067,2019
Wyoming,1521,70,54,63,2019
United States,862084,23864,18729,481371,2019
Northeast Region,52699,4132,3353,81002,2019
Midwest Region,114248,4490,3552,62482,2019
South Region,486168,8588,5899,209649,2019
West Region,208969,6654,5925,128238,2019
New England Division,16883,1368,764,16908,2019
Middle Atlantic Division,35816,2764,2589,64094,2019
East North Central Division,67052,2380,2245,32283,2019
West North Central Division,47196,2110,1307,30199,2019
South Atlantic Division,266865,3712,2594,108698,2019
East South Central Division,57934,830,853,18255,2019
West South Central Division,161369,4046,2452,82696,2019
Mountain Division,111814,2234,2692,46615,2019
Pacific Division,97155,4420,3233,81623,2019
Alabama,17879,98,199,3924,2021
Alaska,1158,34,103,257,2021
Arizona,46561,1332,336,17105,2021
Arkansas,10563,616,567,2452,2021
California,65890,2408,1631,49507,2021
Colorado,30246,1260,736,24282,2021
Connecticut,2941,148,79,1483,2021
Delaware,7261,304,3,932,2021
District of Columbia,376,24,7,4333,2021
Florida,148735,3338,1272,60149,2021
Georgia,53419,364,624,12816,2021
Hawaii,2445,102,13,899,2021
Idaho,16154,222,1051,4305,2021
Illinois,10937,490,736,7495,2021
Indiana,22225,718,134,6783,2021
Iowa,9158,446,298,3784,2021
Kansas,6569,1002,135,1832,2021
Kentucky,10087,270,189,4295,2021
Louisiana,16937,480,78,1652,2021
Maine,5238,240,72,980,2021
Maryland,12520,50,70,5856,2021
Massachusetts,7231,702,330,11590,2021
Michigan,16760,424,421,4127,2021
Minnesota,16704,354,283,16311,2021
Mississippi,7384,44,100,460,2021
Missouri,13941,478,595,6358,2021
Montana,3169,348,267,3488,2021
Nebraska,6328,118,177,4100,2021
Nevada,16295,220,677,6214,2021
New Hampshire,3426,132,141,1193,2021
New Jersey,13913,1192,645,21344,2021
New Mexico,5465,58,27,2203,2021
New York,11099,908,618,27510,2021
North Carolina,68636,542,238,25458,2021
North Dakota,2266,258,8,1068,2021
Ohio,20506,376,607,8929,2021
Oklahoma,13315,486,81,851,2021
Oregon,13185,424,250,8057,2021
Pennsylvania,18764,1118,1422,26590,2021
Puerto Rico,0,0,0,0,2021
Rhode Island,1033,148,85,126,2021
South Carolina,43264,416,42,6958,2021
South Dakota,4324,144,274,3175,2021
Tennessee,36986,296,512,19690,2021
Texas,179620,4350,2133,79852,2021
