ori,agency_name,state_name,data_year,offense,Population,cleared,actual,crime_rate
KY0568000,Louisville,Kentucky,2021,violent-crime,620578,2060,6686,1077.382698065352
KY0568000,Louisville,Kentucky,2022,violent-crime,620578,1367,4254,685.489978697279
LANPD0000,New Orleans,Louisiana,2018,violent-crime,399187,1934,4611,1155.0977361487223
LANPD0000,New Orleans,Louisiana,2019,violent-crime,399187,1394,4516,1131.2993659613162
LANPD0000,New Orleans,Louisiana,2020,violent-crime,399187,1869,5215,1306.4052687086503
LANPD0000,New Orleans,Louisiana,2021,violent-crime,399187,1455,5594,1401.3482402984066
LANPD0000,New Orleans,Louisiana,2022,violent-crime,399187,1207,5345,1338.9714594914165
ME0030500,Portland,Maine,2018,violent-crime,66417,106,192,289.0826143908939
ME0030500,Portland,Maine,2019,violent-crime,66417,90,161,242.4078172756975
ME0030500,Portland,Maine,2020,violent-crime,66417,67,129,194.22738154388185
ME0030500,Portland,Maine,2021,violent-crime,66417,73,156,234.87962419260128
ME0030500,Portland,Maine,2022,violent-crime,66417,54,126,189.71046569402412
MDBPD0000,Baltimore,Maryland,2018,violent-crime,594282,1942,11100,1867.8001352893073
MDBPD0000,Baltimore,Maryland,2019,violent-crime,594282,2522,11101,1867.9684055717655
MDBPD0000,Baltimore,Maryland,2020,violent-crime,594282,2284,9398,1581.4041145449467
MDBPD0000,Baltimore,Maryland,2021,violent-crime,594282,1226,4880,821.158978397461
MDBPD0000,Baltimore,Maryland,2022,violent-crime,594282,2544,8861,1491.0429728647343
MA0130100,Boston,Massachusetts,2018,violent-crime,699927,1308,4324,617.7787112084546
MA0130100,Boston,Massachusetts,2019,violent-crime,699927,1176,4276,610.9208531746882
MA0130100,Boston,Massachusetts,2020,violent-crime,699927,1215,4431,633.0660197420588
MA0130100,Boston,Massachusetts,2021,violent-crime,699927,1122,3923,560.4870222180313
MA0130100,Boston,Massachusetts,2022,violent-crime,699927,1048,3955,565.0589275738756
MI8234900,Detroit,Michigan,2018,violent-crime,672662,3708,13495,2006.2081699278392
MI8234900,Detroit,Michigan,2019,violent-crime,672662,4684,13035,1937.8231563549004
MI8234900,Detroit,Michigan,2020,violent-crime,672662,4865,14494,2154.7225798395034
MI8234900,Detroit,Michigan,2021,violent-crime,672662,4950,14498,2155.317232131442
MI8234900,Detroit,Michigan,2022,violent-crime,672662,4604,12710,1889.5076576348895
MN0271100,Minneapolis,Minnesota,2018,violent-crime,427728,865,3395,793.7287247970673
MN0271100,Minneapolis,Minnesota,2019,violent-crime,427728,1187,4034,943.1227322036434
MN0271100,Minneapolis,Minnesota,2020,violent-crime,427728,1236,5073,1186.0341151385928
MN0271100,Minneapolis,Minnesota,2021,violent-crime,427728,1063,5647,1320.2315490218082
MN0271100,Minneapolis,Minnesota,2022,violent-crime,427728,1396,5170,1208.7120787042234
MS0250100,Jackson,Mississippi,2018,violent-crime,164422,290,1252,761.4552797070952
MS0250100,Jackson,Mississippi,2019,violent-crime,164422,260,1338,813.7597158531096
MS0250100,Jackson,Mississippi,2020,violent-crime,164422,273,1614,981.6204644147376
MOKPD0000,Kansas City,Missouri,2018,violent-crime,508090,1756,7915,1557.7948788600445
MOKPD0000,Kansas City,Missouri,2019,violent-crime,508090,1793,7263,1429.4711566848393
MOKPD0000,Kansas City,Missouri,2020,violent-crime,508090,1736,7975,1569.6038103485605
MOKPD0000,Kansas City,Missouri,2021,violent-crime,508090,1659,7416,1459.5839319805546
MOKPD0000,Kansas City,Missouri,2022,violent-crime,508090,1401,7538,1483.5954260072035
MT0560100,Billings,Montana,2018,violent-crime,116827,344,610,522.1395738998691
MT0560100,Billings,Montana,2019,violent-crime,116827,333,698,597.4646271837846
MT0560100,Billings,Montana,2020,violent-crime,116827,442,966,826.863653093891
MT0560100,Billings,Montana,2021,violent-crime,116827,510,1189,1017.7441858474497
MT0560100,Billings,Montana,2022,violent-crime,116827,562,1095,937.2833334759945
NB0280200,Omaha,Nebraska,2018,violent-crime,468262,1785,2628,561.2242718819806
NB0280200,Omaha,Nebraska,2019,violent-crime,468262,1818,2883,615.6809649298897
NB0280200,Omaha,Nebraska,2020,violent-crime,468262,1815,3032,647.5007581225896
NB0280200,Omaha,Nebraska,2022,violent-crime,468262,1344,2713,579.3765028979503
NV0020100,Las Vegas,Nevada,2018,violent-crime,649876,3212,9949,1530.9074346490715
NV0020100,Las Vegas,Nevada,2019,violent-crime,649876,3839,8855,1362.5676282860115
NV0020100,Las Vegas,Nevada,2020,violent-crime,649876,4737,9223,1419.19381543556
NV0020100,Las Vegas,Nevada,2021,violent-crime,649876,4634,8027,1235.1587071995273
NV0020100,Las Vegas,Nevada,2022,violent-crime,649876,4786,8605,1324.0987511463725
NH0063400,Manchester,New Hampshire,2018,violent-crime,112525,360,662,588.3137080648745
NH0063400,Manchester,New Hampshire,2019,violent-crime,112525,302,681,605.1988447011776
NH0063400,Manchester,New Hampshire,2020,violent-crime,112525,315,677,601.6440790935349
NH0063400,Manchester,New Hampshire,2021,violent-crime,112525,238,479,425.6831815152189
NH0063400,Manchester,New Hampshire,2022,violent-crime,112525,242,472,419.462341701844
NJNPD0000,Newark,New Jersey,2018,violent-crime,282090,428,2069,733.4538622425467
NJNPD0000,Newark,New Jersey,2019,violent-crime,282090,342,1742,617.5334113226274
NJNPD0000,Newark,New Jersey,2020,violent-crime,282090,320,1492,528.909213371619
NJNPD0000,Newark,New Jersey,2021,violent-crime,282090,579,1443,511.53887057322135
NJNPD0000,Newark,New Jersey,2022,violent-crime,282090,758,1582,560.8139246339821
NM0010100,Albuquerque,New Mexico,2018,violent-crime,560218,2486,7687,1372.1444152097934
NM0010100,Albuquerque,New Mexico,2019,violent-crime,560218,2501,7615,1359.2922755070347
NM0010100,Albuquerque,New Mexico,2020,violent-crime,560218,2258,7573,1351.7951940137589
NM0010100,Albuquerque,New Mexico,2021,violent-crime,560218,1973,8088,1443.7236932765459
NM0010100,Albuquerque,New Mexico,2022,violent-crime,560218,1457,7737,1381.069512225598
NY0303000,New York City,New York,2018,violent-crime,8879928,29355,46113,519.2947510385219
NY0303000,New York City,New York,2019,violent-crime,8879928,30052,47821,538.5291412272712
NY0303000,New York City,New York,2020,violent-crime,8879928,26768,47959,540.0832078818656
NY0303000,New York City,New York,2022,violent-crime,8879928,0,61293,690.2420830439165
ND0090200,Fargo,North Dakota,2018,violent-crime,124844,241,526,421.3258146166416
ND0090200,Fargo,North Dakota,2019,violent-crime,124844,252,581,465.38079523245005
ND0090200,Fargo,North Dakota,2020,violent-crime,124844,225,591,473.39079170805167
ND0090200,Fargo,North Dakota,2021,violent-crime,124844,268,661,529.4607670372625
ND0090200,Fargo,North Dakota,2022,violent-crime,124844,340,787,630.3867226298421
OHCOP0000,Columbus,Ohio,2018,violent-crime,895477,674,4586,512.1292897528357
OHCOP0000,Columbus,Ohio,2019,violent-crime,895477,804,4637,517.824578409049
OHCOP0000,Columbus,Ohio,2020,violent-crime,895477,924,5233,584.3812850581311
OHCOP0000,Columbus,Ohio,2021,violent-crime,895477,857,5547,619.4463956081507
OHCOP0000,Columbus,Ohio,2022,violent-crime,895477,623,4082,455.84643715025624
OK0550600,Oklahoma City,Oklahoma,2018,violent-crime,649021,2534,5663,872.5449561724505
OK0550600,Oklahoma City,Oklahoma,2019,violent-crime,649021,1586,4791,738.1887489002668
OK0550600,Oklahoma City,Oklahoma,2020,violent-crime,649021,1554,4872,750.6690846675223
OK0550600,Oklahoma City,Oklahoma,2021,violent-crime,649021,1364,4349,670.0861759480819
OK0550600,Oklahoma City,Oklahoma,2022,violent-crime,649021,1936,4448,685.3399196636165
OR0260200,Portland,Oregon,2018,violent-crime,661189,1079,3481,526.4757883146876
OR0260200,Portland,Oregon,2019,violent-crime,661189,1414,3646,551.4308314264151
OR0260200,Portland,Oregon,2020,violent-crime,661189,1416,3783,572.1510793434252
OR0260200,Portland,Oregon,2021,violent-crime,661189,1740,4920,744.1140127860566
OR0260200,Portland,Oregon,2022,violent-crime,661189,1596,4733,715.8316305927655
PAPEP0000,Philadelphia,Pennsylvania,2018,violent-crime,1587828,6438,14420,908.158818209529
