ori,agency_name,state_name,agency_type_name
MT0160100,Bozeman,Montana,City
NB0400100,Grand Island,Nebraska,City
NV0020200,North Las Vegas,Nevada,City
NH0090400,Dover,New Hampshire,City
NJ0200400,Elizabeth,New Jersey,City
NM0260100,Santa Fe,New Mexico,City
NY0270100,Rochester,New York,City
NC0320100,Durham,North Carolina,City
ND0510200,Minot,North Dakota,City
OH0480700,Toledo,Ohio,City
OK0720100,Broken Arrow,Oklahoma,City
OR0260100,Gresham,Oregon,City
PA0250200,Erie,Pennsylvania,City
RI0040800,Pawtucket,Rhode Island,City
SC0100300,Mount Pleasant,South Carolina,City
SD0050100,Brookings,South Dakota,City
TN0330100,Chattanooga,Tennessee,City
TX2270100,Austin,Texas,City
UT0180600,West Jordan,Utah,City
VT0110200,Rutland,Vermont,City
VA1220000,Richmond,Virginia,City
WA0060300,Vancouver,Washington,City
WV0540100,Parkersburg,West Virginia,City
WI0300100,Kenosha,Wisconsin,City
WY0030100,Gillette,Wyoming,City
AL0630100,Tuscaloosa,Alabama,City
AK0010900,Sitka,Alaska,City and Borough
AZ0072500,Scottsdale,Arizona,City
AR0160100,Jonesboro,Arkansas,City
CA0100500,Fresno,California,City
CO0300400,Lakewood,Colorado,City
CT0015100,Waterbury,Connecticut,City
DE0010300,Smyrna,Delaware,City
FL0521400,St. Petersburg,Florida,City
ID0140100,Caldwell,Idaho,City
IL1010400,Rockford,Illinois,City
IN0290100,Carmel,Indiana,City
IA0520200,Iowa City,Iowa,City
KS0890100,Topeka,Kansas,City
KY0590100,Covington,Kentucky,City
LA0100200,Lake Charles,Louisiana,Parish
ME0010100,Auburn,Maine,City
MA0092600,Lowell,Massachusetts,City
MI8121800,Ann Arbor,Michigan,City
MN0270100,Bloomington,Minnesota,City
MS0180100,Hattiesburg,Mississippi,City
MO0480600,Independence,Missouri,City
NB0100100,Kearney,Nebraska,City
NH0092000,Rochester,New Hampshire,City
NM0030100,Roswell,New Mexico,City
NY0330100,Syracuse,New York,City
NC0340200,Winston-Salem,North Carolina,City
ND0090300,West Fargo,North Dakota,City
OH0770100,Akron,Ohio,City
OK0550300,Edmond,Oklahoma,City
OR0340300,Hillsboro,Oregon,City
PA0061400,Reading,Pennsylvania,City
RI0040400,East Providence,Rhode Island,City
SC0460300,Rock Hill,South Carolina,City
SD0140100,Watertown,South Dakota,City
TN0630100,Clarksville,Tennessee,City
TX2201200,Fort Worth,Texas,City
UT0250300,Orem,Utah,City
VT0020100,Bennington,Vermont,City
WA0170200,Bellevue,Washington,City
WV0350100,Wheeling,West Virginia,City
WI0520200,Racine,Wisconsin,City
WY0190200,Rock Springs,Wyoming,City
